M200m M500c Yszr500c Yszcyl_x_r500c Yszcyl_y_r500c Yszcyl_z_r500c halo_ids r200m r500c
7.8607e+14 4.0408e+14 5.60276894332e-05 6.91152636043e-05 7.07837509865e-05 7.17576371488e-05 17 3319.21857143 1265.75428571
5.6241e+14 2.4207e+14 2.60260688665e-05 3.12416841981e-05 3.10490464592e-05 3.12426465793e-05 19 2968.70714286 1067.02
8.0027e+14 4.2582e+14 6.60042242335e-05 7.62963068855e-05 7.58258235706e-05 7.66083986815e-05 21 3339.09857143 1288.06142857
7.239e+14 4.7185e+14 7.28242512021e-05 8.34983822036e-05 8.83649658514e-05 8.32266189346e-05 23 3229.3 1332.89857143
6.4899e+14 3.1228e+14 3.8757877266e-05 4.53015706279e-05 4.58144581811e-05 4.56258593049e-05 25 3113.84142857 1161.56
1.2254e+15 5.4317e+14 0.000100587832013 0.000117420127026 0.000127262616838 0.000119255960919 26 3848.64857143 1396.92428571
7.9142e+14 3.6515e+14 5.73315771193e-05 6.80148132817e-05 6.61976990202e-05 6.58005874889e-05 27 3326.73857143 1223.73142857
1.0155e+15 4.6898e+14 8.96822899137e-05 0.000105767030525 0.000103678145467 0.000108147292654 29 3615.02857143 1330.19
8.2047e+14 4.7597e+14 6.15628704191e-05 7.26703948191e-05 7.35305147366e-05 7.45852424409e-05 31 3366.95 1336.76428571
9.5432e+14 4.8303e+14 7.77568252108e-05 9.08348683588e-05 9.0648796555e-05 9.21878071316e-05 32 3540.90285714 1343.34428571
1.3951e+15 6.3724e+14 0.000110674889482 0.000154230603189 0.000136910469777 0.000136890829469 33 4018.72857143 1473.32428571
8.1489e+14 3.8374e+14 4.86597929125e-05 5.97490597194e-05 5.82775160165e-05 5.75916639471e-05 34 3359.30285714 1244.15142857
5.5804e+14 3.0544e+14 3.93378566451e-05 4.52800661483e-05 4.32466616078e-05 4.34784943388e-05 35 2961.00142857 1153.02
7.1318e+14 3.2442e+14 4.87897792342e-05 5.93427909301e-05 5.70794897811e-05 5.82483771531e-05 39 3213.28857143 1176.42428571
9.3699e+14 5.186e+14 9.76860707156e-05 0.000111410433034 0.000110820190219 0.000109443774251 42 3519.34285714 1375.53428571
6.6481e+14 3.5939e+14 4.8970278313e-05 5.83015875505e-05 5.6062872634e-05 5.58278241452e-05 44 3138.93857143 1217.25714286
5.9042e+14 2.4285e+14 2.2518861453e-05 2.71941229179e-05 3.19154240648e-05 2.57612655636e-05 45 3017.19714286 1068.17571429
6.7377e+14 3.318e+14 4.31169620126e-05 5.29115973381e-05 5.15978407139e-05 5.38251007821e-05 49 3152.97428571 1185.27714286
1.5921e+15 6.3236e+14 0.000129441940236 0.000161116271353 0.000153163357386 0.00016304614088 50 4199.59571429 1469.54428571
7.7423e+14 3.2254e+14 4.38859735951e-05 5.20665793163e-05 5.32714556943e-05 5.13621981131e-05 53 3302.47285714 1174.15142857
5.7096e+14 2.6752e+14 3.1416517312e-05 3.86338127499e-05 3.79558343472e-05 3.85496224215e-05 54 2983.67571429 1103.17714286
5.5753e+14 3.091e+14 3.7016644462e-05 4.2686376761e-05 4.38479488315e-05 4.23859953807e-05 55 2960.1 1157.60285714
9.6111e+14 5.2993e+14 0.000101623761225 0.000111249415327 0.000111176443163 0.000112294899466 59 3549.28428571 1385.48428571
1.0092e+15 5.6176e+14 7.94113698338e-05 0.000102149736597 9.94994737148e-05 0.000103945642636 61 3607.53 1412.68571429
8.8543e+14 3.9542e+14 6.24513846202e-05 7.81336460329e-05 7.41817666574e-05 7.4166934098e-05 63 3453.56142857 1256.64857143
6.1175e+14 3.3507e+14 4.5642627717e-05 5.37606467789e-05 5.21685343941e-05 5.31184192082e-05 65 3053.10714286 1189.15428571
5.3718e+14 3.1321e+14 4.19593196708e-05 4.55417129407e-05 4.65985113832e-05 4.60984149931e-05 66 2923.63857143 1162.72
5.8036e+14 3.1603e+14 3.73880003112e-05 4.43509578689e-05 4.41773080293e-05 4.42169354674e-05 68 2999.96428571 1166.19714286
1.2518e+15 6.7235e+14 0.000145008366067 0.000161671816064 0.000159260338345 0.00016244183268 69 3876.05285714 1499.88857143
8.1535e+14 3.2556e+14 4.19636472628e-05 5.2688478103e-05 5.02879983583e-05 5.26009329672e-05 71 3359.93 1177.79857143
6.654e+14 3.5528e+14 4.15322135827e-05 4.91981901255e-05 4.98749386663e-05 5.35085888967e-05 73 3139.86428571 1212.60428571
1.7562e+15 1.0482e+15 0.000290272641951 0.000310660187742 0.000315487677154 0.00031654436215 77 4339.14857143 1739.18571429
8.1913e+14 3.665e+14 4.43726264029e-05 5.50986315799e-05 6.10397289378e-05 5.67978493211e-05 78 3365.12 1225.23428571
9.5656e+14 5.3359e+14 9.40802038728e-05 0.000109012091795 0.000105257513857 0.000107615906481 79 3543.67 1388.66142857
6.7302e+14 4.3671e+14 6.4266382864e-05 6.94371298969e-05 6.87975889711e-05 6.83527306723e-05 80 3151.80571429 1298.95
6.4223e+14 3.5076e+14 6.19139803801e-05 6.67507920458e-05 6.72896598433e-05 6.70847533615e-05 81 3102.98714286 1207.43857143
3.9747e+14 1.821e+14 1.36254920612e-05 1.71983463704e-05 1.6173060838e-05 1.74839494647e-05 82 2644.35428571 970.432857143
7.6905e+14 3.943e+14 5.57245112536e-05 6.59418152244e-05 6.63430816013e-05 6.5142565135e-05 83 3295.09285714 1255.46857143
5.5875e+14 2.7307e+14 3.49058406824e-05 4.18718216978e-05 3.962982511e-05 3.97173445535e-05 85 2962.26285714 1110.75571429
7.7563e+14 3.7485e+14 5.42140363112e-05 6.32034280214e-05 6.39963470858e-05 6.50834784228e-05 86 3304.46142857 1234.47571429
7.6542e+14 3.6614e+14 5.13808634669e-05 6.00226426171e-05 6.14188726629e-05 6.11766638956e-05 88 3289.89857143 1224.83
7.2659e+14 3.5406e+14 4.25454087179e-05 5.08293591992e-05 5.64019660551e-05 5.68554452004e-05 91 3233.30571429 1211.21428571
6.7325e+14 3.0657e+14 4.08008423203e-05 4.93787911344e-05 4.84504362178e-05 4.66315993565e-05 96 3152.15857143 1154.43428571
6.5203e+14 2.9833e+14 3.60968576124e-05 4.76716607043e-05 4.41965941227e-05 4.50731112494e-05 98 3118.68714286 1144.00142857
3.2963e+14 1.0842e+14 7.5284363683e-06 9.5104202492e-06 1.11980944167e-05 9.94856392382e-06 100 2484.42428571 816.384285714
8.0959e+14 3.1926e+14 4.66823775889e-05 6.00934944475e-05 5.65710628352e-05 5.61782214549e-05 104 3352.0 1170.15285714
6.7062e+14 3.5399e+14 4.56808046107e-05 5.41973088694e-05 5.44555758412e-05 5.62299360883e-05 106 3148.04571429 1211.12714286
