M200c M200m M500c Yszcyl_x_r200c Yszcyl_x_r200m Yszcyl_x_r500c Yszcyl_y_r200c Yszcyl_y_r200m Yszcyl_y_r500c Yszcyl_z_r200c Yszcyl_z_r200m Yszcyl_z_r500c Yszr200c Yszr200m Yszr500c halo_ids r200c r200m r500c
8.3759e+14 1.2254e+15 5.4317e+14 3.78246212629e-34 4.34789431766e-34 2.93772089097e-34 3.9111859885e-34 4.43984532496e-34 3.18202318747e-34 3.80879261212e-34 4.36332376976e-34 2.98215357493e-34 3.46069879963e-34 4.25542490064e-34 2.4906511092e-34 26 2190.37857143 3848.64857143 1396.92428571
4.991e+14 7.9142e+14 3.6515e+14 2.02897293436e-34 2.47264235254e-34 1.70312383481e-34 1.97692983157e-34 2.36781195211e-34 1.65330616864e-34 1.96522211803e-34 2.3655780758e-34 1.63726049899e-34 1.7845844918e-34 2.25853564984e-34 1.42144261027e-34 27 1843.18714286 3326.73857143 1223.73142857
7.0836e+14 1.0155e+15 4.6898e+14 3.18456016045e-34 3.641880641e-34 2.63619656296e-34 3.14955296411e-34 3.60477536984e-34 2.58460481168e-34 3.23852109036e-34 3.73843127805e-34 2.7115958047e-34 2.92378632964e-34 3.49230563549e-34 2.21952301488e-34 29 2071.38 3615.02857143 1330.19
6.7093e+14 8.2047e+14 4.7597e+14 2.29136865785e-34 2.8591826571e-34 1.81489950693e-34 2.22130820332e-34 2.46196715139e-34 1.82659664576e-34 2.27432080414e-34 2.49277524301e-34 1.86144381765e-34 2.04946377253e-34 2.42611745947e-34 1.52284744447e-34 31 2034.23571429 3366.95 1336.76428571
6.6016e+14 9.5432e+14 4.8303e+14 2.69696264068e-34 3.11446972673e-34 2.26331324947e-34 2.73450279426e-34 3.12333788791e-34 2.26376578558e-34 2.77461239309e-34 3.11976636962e-34 2.30965619142e-34 2.46960308382e-34 3.02336171645e-34 1.92929086435e-34 32 2023.28857143 3540.90285714 1343.34428571
1.0319e+15 1.3951e+15 6.3724e+14 4.87692500473e-34 5.44392712499e-34 3.87722591564e-34 4.74843392989e-34 5.41745742783e-34 3.41649425464e-34 4.75781185763e-34 5.42033000646e-34 3.42645018896e-34 4.32425390819e-34 5.29587584651e-34 2.73532260139e-34 33 2348.15428571 4018.72857143 1473.32428571
5.757e+14 8.1489e+14 3.8374e+14 1.85422636158e-34 2.20009939037e-34 1.49150288615e-34 1.83954113904e-34 2.17783381542e-34 1.45859348425e-34 1.81055097827e-34 2.16535586437e-34 1.44188189333e-34 1.61661340544e-34 2.10507330001e-34 1.20726137491e-34 34 1933.03285714 3359.30285714 1244.15142857
3.9296e+14 5.5804e+14 3.0544e+14 1.27093960453e-34 1.35318766875e-34 1.12901091166e-34 1.19074716597e-34 1.32126898386e-34 1.07338668643e-34 1.18795109425e-34 1.31605324042e-34 1.07825414447e-34 1.14228914021e-34 1.30049080364e-34 9.75271024086e-35 35 1701.99714286 2961.00142857 1153.02
4.7229e+14 7.1318e+14 3.2442e+14 1.8330152884e-34 2.10000697683e-34 1.49257253984e-34 1.76365661368e-34 2.05421490664e-34 1.42529519889e-34 1.74115366619e-34 2.02846276573e-34 1.44922758514e-34 1.60578542049e-34 1.97373018362e-34 1.20769936299e-34 39 1809.57428571 3213.28857143 1176.42428571
6.9438e+14 9.3699e+14 5.186e+14 3.19736223852e-34 3.53331892683e-34 2.78240646563e-34 3.21794210657e-34 3.53393240524e-34 2.77347282258e-34 3.16234258851e-34 3.52687869524e-34 2.72871761267e-34 2.95822055702e-34 3.42887536286e-34 2.42104266677e-34 42 2057.65857143 3519.34285714 1375.53428571
