M200c M200m M500c Yszcyl_x_r200c Yszcyl_x_r500c Yszcyl_y_r200c Yszcyl_y_r500c Yszcyl_z_r200c Yszcyl_z_r500c Yszr200c Yszr500c halo_ids r200c r500c
3.9296e+14 5.5804e+14 3.0544e+14 5.05338053277e-05 4.53480202133e-05 4.80043420823e-05 4.33115640406e-05 4.79446158615e-05 4.35437446946e-05 4.61679187857e-05 3.9389091221e-05 35 1701.99714286 1153.02
4.7229e+14 7.1318e+14 3.2442e+14 7.16507755078e-05 5.94177058202e-05 7.01622589108e-05 5.71495949609e-05 6.99150605016e-05 5.83211924352e-05 6.48525919189e-05 4.88369290139e-05 39 1809.57428571 1176.42428571
6.9438e+14 9.3699e+14 5.186e+14 0.000127302814386 0.000111546372984 0.000127822646842 0.00011095509674 0.000126187591515 0.000109576728393 0.000119497202189 9.78032264394e-05 42 2057.65857143 1375.53428571
4.8876e+14 6.6481e+14 3.5939e+14 6.8206797279e-05 5.83890836653e-05 6.62973412216e-05 5.61470089971e-05 6.60987777122e-05 5.59116077593e-05 6.13934200218e-05 4.9034343094e-05 44 1830.37857143 1217.25714286
3.6536e+14 5.9042e+14 2.4285e+14 3.35145112233e-05 2.72349345013e-05 3.70311649285e-05 3.19633211415e-05 3.32213176579e-05 2.57999267861e-05 3.11564389521e-05 2.25366659603e-05 45 1661.16857143 1068.17571429
5.156e+14 6.7377e+14 3.318e+14 6.67709371755e-05 5.29910044244e-05 6.66685861706e-05 5.16752761798e-05 6.76671935602e-05 5.39058788088e-05 6.14303923457e-05 4.31508426785e-05 49 1863.28571429 1185.27714286
1.002e+15 1.5921e+15 6.3236e+14 0.00020124887162 0.00016129293973 0.00019941980234 0.000153339985273 0.000202016334459 0.0001632385674 0.000184382865126 0.000129589221231 50 2325.21571429 1469.54428571
5.0934e+14 7.7423e+14 3.2254e+14 6.47109051732e-05 5.21447182417e-05 6.65473595369e-05 5.3351402838e-05 6.41988460035e-05 5.14392799383e-05 5.86460494401e-05 4.39391594402e-05 53 1855.71714286 1174.15142857
3.8047e+14 5.7096e+14 2.6752e+14 4.7556603631e-05 3.86671995677e-05 4.71489080686e-05 3.79884248796e-05 4.79023197879e-05 3.85811396806e-05 4.26963599575e-05 3.14445919027e-05 54 1683.77 1103.17714286
4.2081e+14 5.5753e+14 3.091e+14 4.97699640488e-05 4.27504383463e-05 5.02297193831e-05 4.39137536462e-05 4.95011526327e-05 4.24496061686e-05 4.71367978784e-05 3.70619481085e-05 55 1741.29285714 1157.60285714
7.5719e+14 9.6111e+14 5.2993e+14 0.000124579922618 0.000111416372901 0.000124313513965 0.000111343291224 0.000124773557438 0.00011246342605 0.000119542481936 0.000101753022483 59 2117.91714286 1385.48428571
